answer,post_answer_count,post_comment_count,post_favorite_count,post_score,post_view_count,users_reputation,users_up_votes,users_down_votes,score_prev_acceptans,score_prev_ans,score_prev_comment,score_prev_question,score_prev_favquestion,age_user,title_length,num_block_code,num_i_sentences,num_wh_words,num_y_sentences,tags_popularity,num_tags,code_length,tag_count
2,1,0,0,0,77,2722,2585,8,31,146,19,37,5,1617.0,39,1,6,1,0,1,4,254.0,4.0
2,3,0,0,1,162,11669,2442,65,281,740,104,62,19,1807.0,24,2,4,0,0,3,5,193.0,5.0
2,1,0,0,1,72,42820,2392,1575,2747,3054,267,79,19,1762.0,71,2,3,1,0,0,3,551.0,3.0
2,1,2,0,1,284,20126,2389,17,203,271,60,150,31,2659.0,43,0,0,0,0,1,3,0.0,3.0
1,0,0,0,0,90,20126,2389,17,203,271,60,150,31,2887.0,42,0,0,2,0,1,2,0.0,2.0
2,2,0,0,1,64,2702,2385,3,53,167,74,53,9,2840.0,70,2,5,0,0,1,3,455.0,3.0
2,1,0,0,2,57,5212,2282,42,131,390,118,4,5,1547.0,37,1,1,0,0,1,2,31.0,2.0
2,2,3,0,5,459,28090,2258,409,1736,2100,402,31,1,1219.0,52,2,6,0,0,0,2,5160.0,2.0
2,1,4,2,0,481,3170,2219,35,8,240,93,44,3,2016.0,82,0,10,4,0,2,5,0.0,5.0
2,1,1,1,4,660,4458,2200,30,59,291,161,14,6,1910.0,38,1,2,0,1,1,3,219.0,3.0
2,1,2,0,0,143,2489,2198,63,25,60,133,136,37,720.0,27,4,6,1,0,2,4,417.0,4.0
2,2,0,0,0,535,2489,2198,63,25,60,133,136,37,377.0,37,2,3,0,0,2,3,1721.0,3.0
2,1,0,1,2,167,2489,2198,63,25,60,133,136,37,466.0,36,0,4,1,0,0,2,0.0,2.0
2,3,5,0,0,53,2489,2198,63,25,60,133,136,37,800.0,53,3,5,1,0,2,3,7007.0,3.0
2,7,0,0,1,48,2489,2198,63,25,60,133,136,37,473.0,73,2,1,0,0,2,2,335.0,2.0
1,0,4,0,1,24,2489,2198,63,25,60,133,136,37,540.0,81,0,2,1,0,2,3,0.0,3.0
2,1,0,0,1,35,2489,2198,63,25,60,133,136,37,629.0,40,1,2,1,0,0,3,536.0,3.0
2,1,1,0,0,20,2489,2198,63,25,60,133,136,37,812.0,92,0,4,2,0,0,3,0.0,3.0
1,0,0,0,1,90,4713,2159,214,112,347,153,10,1,1467.0,38,0,3,0,0,0,1,0.0,1.0
2,1,4,1,0,162,3689,2150,69,20,35,57,31,6,2801.0,37,3,9,1,0,2,5,1792.0,5.0
2,2,2,0,0,121,3689,2150,69,20,35,57,31,6,2811.0,69,0,1,0,0,1,3,0.0,3.0
2,2,4,0,4,107,8299,2093,43,29,80,178,29,9,2987.0,63,3,7,1,0,2,4,1329.0,4.0
1,0,5,0,0,72,8299,2093,43,29,80,178,29,9,3120.0,71,0,9,3,2,0,2,0.0,2.0
1,0,0,0,1,23,8052,2087,13,88,558,167,89,18,1388.0,37,1,1,0,0,1,1,63.0,1.0
2,1,0,0,0,345,16628,2040,529,655,1076,690,2,0,1449.0,54,0,2,1,0,1,4,0.0,4.0
2,1,1,0,0,32,2452,2024,48,89,160,121,36,2,2131.0,81,1,4,2,0,2,2,366.0,2.0
2,4,4,0,4,1357,2452,2024,48,89,160,121,36,2,1759.0,69,3,2,5,0,3,4,598.0,4.0
2,1,2,0,5,306,4094,2011,656,110,202,135,70,6,663.0,37,2,4,0,0,1,3,329.0,3.0
2,2,0,0,2,455,4094,2011,656,110,202,135,70,6,728.0,39,2,2,3,0,1,2,897.0,2.0
1,0,0,0,0,46,12917,1999,70,504,839,95,14,4,1418.0,75,1,4,0,0,1,4,5497.0,4.0
2,1,0,0,0,82,6812,1964,96,38,130,104,48,70,1379.0,61,1,2,1,0,1,5,46.0,5.0
2,2,1,0,-1,30,4182,1963,11,207,364,13,-1,0,2901.0,74,1,1,0,0,2,3,197.0,3.0
1,0,4,1,1,53,22323,1941,1440,904,1484,1165,41,15,2098.0,71,0,4,0,0,0,2,0.0,2.0
2,1,3,1,0,707,3848,1937,18,70,211,18,15,19,1195.0,48,1,2,0,0,3,5,196.0,5.0
2,2,4,0,2,101,16972,1925,8,354,765,533,496,57,1061.0,51,1,6,0,0,2,5,113.0,5.0
2,1,3,0,0,160,1616,1922,28,10,52,50,9,1,1199.0,37,2,3,0,0,1,3,244.0,3.0
2,1,2,0,0,52,1649,1875,62,11,30,74,48,8,1973.0,50,3,7,0,0,2,3,747.0,3.0
2,1,1,0,0,24,39387,1822,46,702,2902,228,63,26,2938.0,53,1,9,2,0,1,2,391.0,2.0
2,2,0,0,0,344,14564,1814,40,625,1181,340,67,12,2373.0,27,0,2,0,0,1,2,0.0,2.0
2,1,2,0,2,131,1094,1807,9,15,89,0,13,7,1653.0,80,0,6,0,0,2,2,0.0,2.0
1,0,2,0,0,44,5260,1792,342,122,263,277,7,4,1893.0,37,2,5,0,0,1,3,380.0,3.0
2,1,1,1,1,318,1094,1781,2,127,166,67,180,23,2927.0,63,4,3,0,0,1,3,3161.0,3.0
2,3,0,1,0,1224,1094,1781,2,127,166,67,180,23,2966.0,42,3,4,1,0,1,2,878.0,2.0
2,2,10,0,12,471,1094,1781,2,127,166,67,180,23,2567.0,34,2,4,0,0,1,3,488.0,3.0
1,0,2,0,2,112,536,1769,15,5,21,7,10,0,1152.0,60,5,0,1,0,4,5,2626.0,5.0
1,0,2,0,0,29,24728,1723,9,235,335,95,93,14,2123.0,27,1,1,0,0,1,1,26.0,1.0
2,1,2,0,0,127,191,1707,1,0,0,0,4,0,696.0,44,1,8,3,0,1,3,310.0,3.0
2,1,5,2,2,42,13753,1703,12,230,851,691,31,11,2736.0,90,3,1,1,0,0,2,1232.0,2.0
1,0,0,0,0,20,22559,1694,44,950,1532,380,48,18,2195.0,40,0,2,0,0,2,5,0.0,5.0
2,1,0,2,2,958,22559,1694,44,950,1532,380,48,18,1942.0,137,0,4,0,0,1,5,0.0,5.0
2,2,3,0,1,181,10886,1688,707,375,528,559,81,34,1481.0,47,2,5,2,0,2,5,389.0,5.0
2,2,4,0,0,1391,2251,1655,74,43,114,84,34,3,73.0,65,1,5,3,0,2,4,265.0,4.0
2,1,3,0,1,296,3928,1653,206,99,196,174,89,12,985.0,57,1,9,3,0,1,5,202.0,5.0
2,2,0,1,0,74,14246,1650,193,142,1017,937,135,58,2422.0,67,0,0,0,0,1,5,0.0,5.0
2,1,0,0,0,230,36321,1641,119,1761,2807,543,13,4,2455.0,41,6,7,8,0,0,2,551.0,2.0
2,1,2,0,0,53,3453,1627,229,129,163,61,11,1,1489.0,41,0,2,0,0,0,2,0.0,2.0
2,2,5,0,2,74,4551,1612,142,139,295,81,5,0,1081.0,74,1,0,0,0,2,4,524.0,4.0
2,1,11,0,0,26,1060,1574,1,9,12,33,32,12,1082.0,34,4,7,2,0,1,2,7801.0,2.0
2,3,1,0,0,50,1060,1574,1,9,12,33,32,12,1527.0,59,4,8,0,0,1,2,419.0,2.0
1,0,3,0,1,136,344,1549,4,8,19,34,1,0,1336.0,55,1,7,0,0,1,5,559.0,5.0
2,1,1,0,0,43,3417,1514,164,83,152,76,2,1,2992.0,54,2,7,1,0,2,3,2303.0,3.0
1,0,2,0,1,18,3814,1510,19,98,153,121,4,0,2957.0,36,4,8,4,0,2,4,963.0,4.0
1,0,2,0,0,54,7355,1507,12,74,195,125,30,5,1819.0,36,0,2,0,0,2,4,0.0,4.0
2,5,2,0,3,116,1958,1498,85,22,72,115,90,12,1216.0,47,0,4,9,0,1,3,0.0,3.0
2,1,0,0,1,88,64511,1491,20,246,319,293,79,17,2186.0,23,1,1,0,0,0,1,75.0,1.0
2,1,0,0,0,462,5426,1491,38,181,405,79,41,6,1924.0,78,1,1,0,0,2,3,112.0,3.0
2,1,8,0,0,143,1397,1489,47,34,59,18,34,2,1416.0,59,2,7,0,0,1,4,134.0,4.0
2,1,0,0,0,788,6184,1477,48,46,441,33,65,12,785.0,54,3,5,0,0,1,5,932.0,5.0
2,1,1,0,0,38,6184,1477,48,46,441,33,65,12,963.0,42,1,3,0,0,1,2,298.0,2.0
1,0,3,0,0,280,3660,1472,22,63,184,34,14,0,1716.0,41,2,3,1,0,1,2,917.0,2.0
2,1,0,1,0,104,284,1462,6,1,4,8,12,5,2557.0,43,4,6,2,1,0,2,13682.0,2.0
2,1,0,1,0,214,3348,1460,60,149,225,72,0,1,2712.0,32,3,2,1,0,2,3,2916.0,3.0
1,0,1,0,0,15,11352,1449,418,30,1087,326,16,4,2038.0,78,0,5,5,0,2,3,0.0,3.0
2,1,0,0,0,37,3373,1445,234,65,71,58,6,15,1909.0,56,2,2,1,0,2,2,323.0,2.0
2,1,2,0,0,30,5740,1437,34,135,304,88,31,4,1342.0,82,2,1,0,0,0,4,117.0,4.0
1,0,1,0,1,40,5740,1437,34,135,304,88,31,4,1266.0,45,1,1,1,0,0,2,1523.0,2.0
2,1,0,0,0,58,19050,1431,66,510,972,338,31,7,2754.0,51,0,0,0,0,1,1,0.0,1.0
2,7,14,12,59,2818,16607,1396,598,763,1334,904,84,17,2619.0,60,1,3,0,0,1,2,278.0,2.0
2,1,0,0,2,254,5105,1391,18,92,287,141,35,3,1367.0,71,4,2,0,0,1,4,791.0,4.0
1,0,5,0,0,54,16094,1385,12,16,40,77,112,32,1907.0,60,4,1,1,0,2,3,571.0,3.0
2,1,2,0,1,72,7770,1383,6,4,274,199,77,14,1907.0,85,2,0,1,0,0,2,593.0,2.0
2,1,2,0,4,94,7770,1383,6,4,274,199,77,14,1881.0,28,5,4,0,0,1,2,1457.0,2.0
2,1,0,0,0,521,7770,1383,6,4,274,199,77,14,1973.0,59,4,0,0,0,1,2,3646.0,2.0
2,4,2,0,3,173,2185,1378,6,52,113,16,126,49,522.0,26,2,1,0,0,1,1,260.0,1.0
2,1,2,0,2,40,229974,1362,1426,11804,19751,7017,51,15,2166.0,49,0,6,5,0,0,2,0.0,2.0
2,1,3,0,1,38,41768,1348,702,2625,3606,378,1,0,2152.0,36,2,11,4,2,2,5,138.0,5.0
2,1,6,1,0,23,3028,1346,1,0,289,47,0,1,2239.0,64,1,2,0,0,0,1,69.0,1.0
2,1,3,1,1,80,1292,1331,15,18,35,26,49,11,737.0,62,0,1,0,0,1,2,0.0,2.0
2,1,8,0,-1,672,1723,1300,2,30,113,66,1,0,1827.0,49,2,4,1,1,3,3,169.0,3.0
2,1,4,0,0,114,1685,1296,6,2,12,50,81,25,745.0,42,4,5,1,1,4,5,4733.0,5.0
2,1,0,0,0,236,5527,1276,23,150,191,117,51,5,2529.0,50,2,9,3,0,0,4,722.0,4.0
2,1,0,0,0,46,5527,1276,23,150,191,117,51,5,2618.0,48,2,6,4,0,0,3,392.0,3.0
2,2,1,0,2,293,695,1276,8,19,27,8,36,2,1091.0,77,0,2,1,0,2,4,0.0,4.0
2,3,2,0,1,395,3037,1267,564,7,23,21,132,14,2371.0,77,2,1,1,0,2,3,116.0,3.0
2,2,0,0,0,498,3037,1267,564,7,23,21,132,14,2261.0,67,1,2,2,0,1,2,332.0,2.0
2,1,2,0,0,37,5873,1248,87,105,199,243,59,9,1959.0,27,3,1,1,0,2,3,969.0,3.0
2,3,0,0,0,125,3521,1245,235,52,182,255,85,19,1506.0,37,3,6,1,0,2,3,626.0,3.0
1,0,2,0,0,39,3521,1245,235,52,182,255,85,19,1471.0,78,0,9,3,0,1,2,0.0,2.0
2,2,3,0,0,61,17322,1244,5,39,47,56,75,12,2504.0,68,1,1,0,0,1,2,387.0,2.0
2,1,0,0,2,271,4060,1240,32,138,209,155,77,19,668.0,39,2,4,2,0,2,5,198.0,5.0
1,0,4,0,0,180,730,1228,12,17,26,7,27,6,588.0,47,2,5,1,0,3,4,1823.0,4.0
2,2,0,0,0,55,506,1195,3,1,4,5,10,2,998.0,41,1,7,3,0,2,3,65.0,3.0
2,2,0,0,0,23,2147,1186,24,80,131,31,27,4,2364.0,47,0,3,1,0,1,2,0.0,2.0
2,3,6,0,1,174,15576,1173,189,33,41,263,162,33,2454.0,45,3,5,3,1,2,4,782.0,4.0
2,2,2,1,6,9444,6278,1170,91,182,267,336,20,5,1873.0,70,2,7,2,0,1,1,725.0,1.0
1,0,3,0,0,136,1660,1170,41,77,84,67,1,2,1371.0,99,0,1,3,0,0,3,0.0,3.0
2,1,4,0,3,4860,1859,1164,84,19,111,19,48,14,673.0,79,3,2,1,0,1,2,162.0,2.0
2,1,0,0,0,79,12025,1163,203,822,1056,70,23,4,1094.0,32,2,11,1,1,1,2,212.0,2.0
2,1,0,0,2,589,1846,1163,41,19,134,105,37,5,2664.0,89,0,3,0,0,1,4,0.0,4.0
2,1,2,0,0,34,3631,1161,47,18,38,38,48,25,2916.0,41,2,0,0,0,1,1,662.0,1.0
2,1,1,0,-1,27,3631,1161,47,18,38,38,48,25,2591.0,68,0,1,0,0,1,4,0.0,4.0
2,1,3,0,0,55,19107,1148,86,942,1300,325,40,4,2054.0,79,0,6,2,0,0,2,0.0,2.0
2,1,0,0,1,20,11646,1141,301,353,545,322,108,15,1529.0,58,0,6,3,0,2,5,0.0,5.0
2,1,1,0,0,32,11646,1141,301,353,545,322,108,15,1331.0,56,2,5,0,0,0,1,156.0,1.0
1,0,1,0,0,52,12650,1132,49,301,967,84,40,14,2176.0,50,6,3,0,0,1,4,1312.0,4.0
2,1,2,0,0,22,14472,1127,12,114,330,78,215,31,2118.0,48,2,0,0,0,3,4,984.0,4.0
2,1,0,0,1,37,14472,1127,12,114,330,78,215,31,2224.0,40,3,0,0,0,1,1,1380.0,1.0
2,1,4,0,0,134,14472,1127,12,114,330,78,215,31,1915.0,88,6,0,0,0,2,2,1025.0,2.0
1,0,1,0,0,24,6198,1111,12,9,357,71,15,4,2578.0,47,2,2,0,0,2,4,73.0,4.0
1,0,0,0,2,21,2523,1105,1309,71,130,99,11,5,446.0,56,3,0,1,0,2,3,676.0,3.0
2,1,9,0,-1,301,1608,1101,7,39,71,7,52,30,835.0,117,2,2,2,0,0,3,1065.0,3.0
2,2,0,0,3,198,823,1101,14,50,50,74,238,34,833.0,40,2,1,1,0,0,3,1551.0,3.0
2,1,5,0,1,61,744,1099,94,8,33,4,1,0,1301.0,32,3,7,1,0,4,4,1603.0,4.0
2,1,0,0,1,478,9558,1092,209,387,645,772,26,4,910.0,75,3,4,0,0,1,2,651.0,2.0
2,1,0,0,0,16,1657,1091,6,35,105,310,11,0,1920.0,96,0,0,1,0,1,3,0.0,3.0
1,0,7,0,0,34,5093,1086,10,228,451,66,1,0,2421.0,61,0,4,1,0,2,2,0.0,2.0
2,2,0,0,2,207,1368,1086,8,33,69,40,2,0,828.0,49,1,7,0,0,3,4,145.0,4.0
2,1,4,0,0,183,3910,1081,14,27,38,25,7,9,1733.0,71,1,4,2,0,2,2,216.0,2.0
2,1,2,3,2,375,43186,1076,250,2755,3826,646,51,14,1754.0,43,1,0,0,1,1,2,42.0,2.0
2,2,10,0,0,69,2535,1071,238,61,166,28,32,7,759.0,51,0,1,1,0,1,5,0.0,5.0
2,1,4,0,1,45,1742,1051,3,70,112,17,4,0,1492.0,32,2,1,1,1,1,1,233.0,1.0
2,2,0,0,0,157,33787,1036,16,1334,2672,700,14,6,2819.0,57,0,5,2,0,1,2,0.0,2.0
2,2,8,0,4,359,3600,1028,13,92,164,35,94,12,344.0,39,1,3,0,0,2,2,18.0,2.0
2,1,0,1,1,170,3600,1028,13,92,164,35,94,12,323.0,58,1,2,0,0,1,3,149.0,3.0
2,1,2,1,3,85,3600,1028,13,92,164,35,94,12,464.0,69,1,2,0,0,2,5,160.0,5.0
2,2,0,1,11,23762,2843,1024,1047,35,160,26,70,11,638.0,136,1,4,0,0,1,3,258.0,3.0
2,1,0,0,1,37,7131,1017,106,350,524,89,6,1,1922.0,81,0,4,4,1,3,5,0.0,5.0
2,2,0,0,2,90,1134,1012,10,27,41,19,13,2,1745.0,34,1,3,0,0,1,4,559.0,4.0
2,1,2,0,4,331,1934,1011,2,157,164,6,4,0,1247.0,60,1,5,1,0,2,4,221.0,4.0
2,1,0,0,1,47,1037,1009,42,16,43,23,5,0,431.0,46,1,4,2,1,2,2,579.0,2.0
2,1,5,0,0,30,2523,1002,195,26,94,325,17,3,320.0,50,4,4,2,0,1,4,625.0,4.0
1,0,2,0,1,116,2566,999,28,40,73,31,18,4,1565.0,50,1,3,1,0,0,2,52.0,2.0
2,1,0,1,0,143,2566,999,28,40,73,31,18,4,1378.0,55,0,1,0,0,0,3,0.0,3.0
2,1,2,0,0,32,4105,986,351,62,117,200,226,23,1822.0,47,1,2,0,0,1,2,74.0,2.0
2,2,7,0,0,2251,4105,986,351,62,117,200,226,23,2024.0,39,2,7,2,0,0,1,4032.0,1.0
2,3,5,0,1,394,4105,986,351,62,117,200,226,23,1648.0,46,3,3,2,0,2,5,833.0,5.0
2,1,8,0,1,316,843,986,1,1,10,51,199,15,342.0,70,1,4,5,0,5,5,355.0,5.0
2,2,0,0,0,51,843,986,1,1,10,51,199,15,573.0,81,2,2,3,0,4,5,2591.0,5.0
1,0,4,1,1,41,4910,984,23,106,196,110,56,8,2238.0,70,2,2,0,0,1,4,571.0,4.0
2,2,0,0,0,51,4910,984,23,106,196,110,56,8,2321.0,46,0,4,3,0,0,1,0.0,1.0
2,1,6,0,1,87,1902,980,3,22,24,11,33,5,1646.0,46,1,0,0,0,1,3,1329.0,3.0
2,1,0,0,1,53,3034,979,16,69,124,92,19,1,1412.0,57,0,5,2,1,0,2,0.0,2.0
2,1,0,0,0,182,6571,974,3,6,38,36,82,42,1655.0,59,3,4,0,0,1,3,2629.0,3.0
2,1,3,0,0,28,1799,970,10,1,1,28,37,13,766.0,52,1,4,3,0,2,2,192.0,2.0
1,0,1,0,1,40,598,968,27,11,13,7,4,0,1098.0,73,2,3,2,0,1,2,880.0,2.0
2,1,3,0,0,58,2228,954,12,41,86,104,85,20,1191.0,65,1,14,5,7,2,3,13035.0,3.0
2,1,1,0,0,160,346,933,0,0,22,1,0,0,1042.0,33,1,3,1,0,2,2,811.0,2.0
2,2,2,0,3,150,1096,929,66,0,18,104,2,6,2163.0,102,0,4,1,0,2,2,0.0,2.0
2,2,6,0,0,57,329,928,4,0,19,6,10,8,28.0,49,3,2,0,0,4,5,100.0,5.0
2,1,0,0,0,425,1590,924,4,44,134,9,3,0,646.0,75,3,3,2,0,1,4,1003.0,4.0
1,0,0,1,2,46,15952,923,61,954,1235,302,165,14,1492.0,70,2,5,2,0,0,1,188.0,1.0
2,1,4,0,0,247,1878,921,270,43,108,198,9,1,1338.0,34,3,22,4,0,3,5,352.0,5.0
2,1,2,0,0,114,2188,911,12,0,18,185,16,6,2144.0,56,0,5,0,0,0,3,0.0,3.0
2,1,1,0,0,48,7428,909,6,223,351,146,123,50,1884.0,72,2,4,1,0,2,5,1988.0,5.0
2,4,1,0,1,97,1843,902,1322,7,12,30,33,5,428.0,73,1,8,4,0,2,3,193.0,3.0
2,1,2,0,0,33,1843,902,1322,7,12,30,33,5,512.0,78,5,8,2,0,1,5,459.0,5.0
2,1,0,0,0,161,587,897,19,21,28,4,0,0,368.0,65,0,4,0,0,3,5,0.0,5.0
2,2,0,0,0,89,603,893,66,2,10,12,6,2,759.0,69,3,3,0,0,2,2,4487.0,2.0
2,2,1,0,3,1988,2146,892,7,92,156,44,23,1,1707.0,55,0,1,0,0,1,2,0.0,2.0
2,1,3,0,1,32,5119,885,34,154,160,85,64,6,2183.0,54,2,7,1,0,2,3,149.0,3.0
2,1,0,0,0,33,5119,885,34,154,160,85,64,6,1973.0,65,0,2,0,0,2,5,0.0,5.0
2,1,0,0,2,385,8593,872,30,69,169,137,115,8,2117.0,30,3,3,1,0,1,4,341.0,4.0
1,0,5,0,1,29,368,868,2,3,7,5,18,4,717.0,43,1,2,0,0,1,2,390.0,2.0
1,0,3,0,1,167,9773,867,5,271,917,201,42,9,2583.0,20,1,6,0,0,0,3,810.0,3.0
1,0,4,0,0,133,9773,867,5,271,917,201,42,9,2421.0,30,2,1,0,0,1,3,1177.0,3.0
2,1,0,0,0,24,613,867,5,2,2,7,4,1,845.0,44,2,3,0,0,2,2,898.0,2.0
2,1,0,0,1,67,8545,859,47,218,346,74,50,6,2023.0,51,2,7,0,0,2,3,271.0,3.0
2,1,0,0,1,18,5969,851,15,230,359,28,21,1,1781.0,93,0,4,2,0,0,3,0.0,3.0
2,3,0,0,1,53,181,845,2,1,5,6,15,3,33.0,51,4,4,0,0,2,3,607.0,3.0
2,2,3,0,0,470,2150,844,82,33,66,49,13,1,657.0,59,2,4,3,0,1,1,1228.0,1.0
2,1,0,0,2,247,120775,832,1781,6459,9483,1993,4,0,1987.0,84,4,9,1,0,1,3,642.0,3.0
2,1,1,0,1,185,7153,831,15,230,390,147,36,7,2453.0,49,4,1,3,0,1,4,4021.0,4.0
2,1,0,1,2,49,366,830,4,12,19,4,4,3,1630.0,95,2,4,0,0,1,4,154.0,4.0
2,1,0,0,0,24,680,825,640,13,30,142,0,0,1560.0,48,2,3,3,0,2,3,323.0,3.0
1,0,3,0,0,218,12205,822,11,569,813,121,6,1,2258.0,73,3,5,0,0,3,5,5143.0,5.0
2,1,0,0,1,29,534,822,9,8,15,9,8,4,612.0,54,2,2,0,0,0,2,57.0,2.0
2,1,3,0,1,54,1424,818,10,11,50,64,12,1,1526.0,66,1,1,0,0,2,2,293.0,2.0
2,1,0,0,0,128,1453,814,18,23,59,44,2,0,2315.0,60,6,4,0,0,3,5,3246.0,5.0
2,2,0,0,0,353,8116,813,16,144,632,214,14,1,2276.0,52,0,0,0,0,0,1,0.0,1.0
2,1,0,0,0,46,3560,810,80,72,199,331,48,9,1979.0,45,0,3,0,0,1,4,0.0,4.0
2,1,0,0,0,46,233,808,2,0,0,1,3,0,245.0,81,0,4,2,0,0,1,0.0,1.0
2,2,1,0,0,38,4272,801,27,57,94,129,20,4,2765.0,44,2,3,0,0,2,3,263.0,3.0
2,1,0,0,0,20,4272,801,27,57,94,129,20,4,2611.0,67,1,1,0,0,0,2,195.0,2.0
